Year,Country_of_Birth,Adoption_Type,Age_Group,Gender,Number
2017,"COUNTRY OF BIRTH, TOTAL",Total,Total,Total,396
2017,"COUNTRY OF BIRTH, TOTAL",Total,Total,Male,207
2017,"COUNTRY OF BIRTH, TOTAL",Total,Total,Female,189
2017,"COUNTRY OF BIRTH, TOTAL",Total,0-17,Total,304
2017,"COUNTRY OF BIRTH, TOTAL",Total,0-17,Male,164
2017,"COUNTRY OF BIRTH, TOTAL",Total,0-17,Female,140
2017,"COUNTRY OF BIRTH, TOTAL",Total,18+,Total,92
2017,"COUNTRY OF BIRTH, TOTAL",Total,18+,Male,43
2017,"COUNTRY OF BIRTH, TOTAL",Total,18+,Female,49
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,Total,Total,115
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,Total,Male,72
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,Total,Female,43
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,0-17,Total,93
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,0-17,Male,58
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,0-17,Female,35
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,18+,Total,22
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,18+,Male,14
2017,"COUNTRY OF BIRTH, TOTAL",Two-parent,18+,Female,8
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,Total,Total,281
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,Total,Male,135
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,Total,Female,146
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,0-17,Total,211
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,0-17,Male,106
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,0-17,Female,105
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,18+,Total,70
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,18+,Male,29
2017,"COUNTRY OF BIRTH, TOTAL",Single-parent,18+,Female,41
2017,Finland,Total,Total,Total,292
2017,Finland,Total,Total,Male,142
2017,Finland,Total,Total,Female,150
2017,Finland,Total,0-17,Total,205
2017,Finland,Total,0-17,Male,101
2017,Finland,Total,0-17,Female,104
2017,Finland,Total,18+,Total,87
2017,Finland,Total,18+,Male,41
2017,Finland,Total,18+,Female,46
2017,Finland,Two-parent,Total,Total,42
2017,Finland,Two-parent,Total,Male,24
2017,Finland,Two-parent,Total,Female,18
2017,Finland,Two-parent,0-17,Total,22
2017,Finland,Two-parent,0-17,Male,12
2017,Finland,Two-parent,0-17,Female,10
2017,Finland,Two-parent,18+,Total,20
2017,Finland,Two-parent,18+,Male,12
2017,Finland,Two-parent,18+,Female,8
2017,Finland,Single-parent,Total,Total,250
2017,Finland,Single-parent,Total,Male,118
2017,Finland,Single-parent,Total,Female,132
2017,Finland,Single-parent,0-17,Total,183
2017,Finland,Single-parent,0-17,Male,89
2017,Finland,Single-parent,0-17,Female,94
2017,Finland,Single-parent,18+,Total,67
2017,Finland,Single-parent,18+,Male,29
2017,Finland,Single-parent,18+,Female,38
2017,"FOREIGN COUNTRY, TOTAL",Total,Total,Total,104
2017,"FOREIGN COUNTRY, TOTAL",Total,Total,Male,65
2017,"FOREIGN COUNTRY, TOTAL",Total,Total,Female,39
2017,"FOREIGN COUNTRY, TOTAL",Total,0-17,Total,99
2017,"FOREIGN COUNTRY, TOTAL",Total,0-17,Male,63
2017,"FOREIGN COUNTRY, TOTAL",Total,0-17,Female,36
2017,"FOREIGN COUNTRY, TOTAL",Total,18+,Total,5
2017,"FOREIGN COUNTRY, TOTAL",Total,18+,Male,2
2017,"FOREIGN COUNTRY, TOTAL",Total,18+,Female,3
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,Total,Total,73
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,Total,Male,48
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,Total,Female,25
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,0-17,Total,71
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,0-17,Male,46
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,0-17,Female,25
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,18+,Total,2
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,18+,Male,2
2017,"FOREIGN COUNTRY, TOTAL",Two-parent,18+,Female,0
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,Total,Total,31
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,Total,Male,17
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,Total,Female,14
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,0-17,Total,28
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,0-17,Male,17
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,0-17,Female,11
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,18+,Total,3
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,18+,Male,0
2017,"FOREIGN COUNTRY, TOTAL",Single-parent,18+,Female,3
2017,EUROPE,Total,Total,Total,10
2017,EUROPE,Total,Total,Male,5
2017,EUROPE,Total,Total,Female,5
2017,EUROPE,Total,0-17,Total,8
2017,EUROPE,Total,0-17,Male,5
2017,EUROPE,Total,0-17,Female,3
2017,EUROPE,Total,18+,Total,2
2017,EUROPE,Total,18+,Male,0
2017,EUROPE,Total,18+,Female,2
2017,EUROPE,Two-parent,Total,Total,1
2017,EUROPE,Two-parent,Total,Male,0
2017,EUROPE,Two-parent,Total,Female,1
2017,EUROPE,Two-parent,0-17,Total,1
2017,EUROPE,Two-parent,0-17,Male,0
2017,EUROPE,Two-parent,0-17,Female,1
2017,EUROPE,Two-parent,18+,Total,0
2017,EUROPE,Two-parent,18+,Male,0
2017,EUROPE,Two-parent,18+,Female,0
2017,EUROPE,Single-parent,Total,Total,9
2017,EUROPE,Single-parent,Total,Male,5
2017,EUROPE,Single-parent,Total,Female,4
2017,EUROPE,Single-parent,0-17,Total,7
2017,EUROPE,Single-parent,0-17,Male,5
2017,EUROPE,Single-parent,0-17,Female,2
2017,EUROPE,Single-parent,18+,Total,2
2017,EUROPE,Single-parent,18+,Male,0
2017,EUROPE,Single-parent,18+,Female,2
2017,OTHER EU(28) COUNTRIES,Total,Total,Total,5
2017,OTHER EU(28) COUNTRIES,Total,Total,Male,4
2017,OTHER EU(28) COUNTRIES,Total,Total,Female,1
2017,OTHER EU(28) COUNTRIES,Total,0-17,Total,5
2017,OTHER EU(28) COUNTRIES,Total,0-17,Male,4
2017,OTHER EU(28) COUNTRIES,Total,0-17,Female,1
2017,OTHER EU(28) COUNTRIES,Total,18+,Total,0
2017,OTHER EU(28) COUNTRIES,Total,18+,Male,0
2017,OTHER EU(28) COUNTRIES,Total,18+,Female,0
2017,OTHER EU(28) COUNTRIES,Two-parent,Total,Total,1
2017,OTHER EU(28) COUNTRIES,Two-parent,Total,Male,0
2017,OTHER EU(28) COUNTRIES,Two-parent,Total,Female,1
2017,OTHER EU(28) COUNTRIES,Two-parent,0-17,Total,1
2017,OTHER EU(28) COUNTRIES,Two-parent,0-17,Male,0
2017,OTHER EU(28) COUNTRIES,Two-parent,0-17,Female,1
2017,OTHER EU(28) COUNTRIES,Two-parent,18+,Total,0
2017,OTHER EU(28) COUNTRIES,Two-parent,18+,Male,0
2017,OTHER EU(28) COUNTRIES,Two-parent,18+,Female,0
2017,OTHER EU(28) COUNTRIES,Single-parent,Total,Total,4
2017,OTHER EU(28) COUNTRIES,Single-parent,Total,Male,4
2017,OTHER EU(28) COUNTRIES,Single-parent,Total,Female,0
2017,OTHER EU(28) COUNTRIES,Single-parent,0-17,Total,4
2017,OTHER EU(28) COUNTRIES,Single-parent,0-17,Male,4
2017,OTHER EU(28) COUNTRIES,Single-parent,0-17,Female,0
2017,OTHER EU(28) COUNTRIES,Single-parent,18+,Total,0
2017,OTHER EU(28) COUNTRIES,Single-parent,18+,Male,0
2017,OTHER EU(28) COUNTRIES,Single-parent,18+,Female,0
2017,Netherlands,Total,Total,Total,0
2017,Netherlands,Total,Total,Male,0
2017,Netherlands,Total,Total,Female,0
2017,Netherlands,Total,0-17,Total,0
2017,Netherlands,Total,0-17,Male,0
2017,Netherlands,Total,0-17,Female,0
2017,Netherlands,Total,18+,Total,0
2017,Netherlands,Total,18+,Male,0
2017,Netherlands,Total,18+,Female,0
2017,Netherlands,Two-parent,Total,Total,0
2017,Netherlands,Two-parent,Total,Male,0
2017,Netherlands,Two-parent,Total,Female,0
2017,Netherlands,Two-parent,0-17,Total,0
2017,Netherlands,Two-parent,0-17,Male,0
2017,Netherlands,Two-parent,0-17,Female,0
2017,Netherlands,Two-parent,18+,Total,0
2017,Netherlands,Two-parent,18+,Male,0
2017,Netherlands,Two-parent,18+,Female,0
2017,Netherlands,Single-parent,Total,Total,0
2017,Netherlands,Single-parent,Total,Male,0
